company,year,local_path
airbus,2020,data\raw_reports\airbus\2020\airbus_2020_fa0ccd01.pdf
airbus,2021,data\raw_reports\airbus\2021\airbus_2021_fd424746.pdf
airbus,2022,data\raw_reports\airbus\2022\airbus_2022_e2f3cccf.pdf
airbus,2023,data\raw_reports\airbus\2023\airbus_2023_48432405.pdf
airbus,2024,data\raw_reports\airbus\2024\airbus_2024_75cfae1c.pdf
airbus,2025,data\raw_reports\airbus\2025\airbus_2025_44a3d536.pdf
axa,2020,data\raw_reports\axa\2020\axa_2020_12378c80.pdf
axa,2020,data\raw_reports\axa\2020\axa_2020_19ac47df.pdf
axa,2021,data\raw_reports\axa\2021\axa_2021_56ab6f72.pdf
axa,2021,data\raw_reports\axa\2021\axa_2021_6d130e92.pdf
axa,2022,data\raw_reports\axa\2022\axa_2022_5c231b08.pdf
axa,2022,data\raw_reports\axa\2022\axa_2022_b2e31902.pdf
axa,2023,data\raw_reports\axa\2023\axa_2023_2b6a912d.pdf
axa,2023,data\raw_reports\axa\2023\axa_2023_dac01f83.pdf
axa,2024,data\raw_reports\axa\2024\axa_2024_81281603.pdf
axa,2024,data\raw_reports\axa\2024\axa_2024_893b9128.pdf
axa,2025,data\raw_reports\axa\2025\axa_2025_c4401379.pdf
barclays,2020,data\raw_reports\barclays\2020\barclays_2020_08c2f48d.pdf
barclays,2020,data\raw_reports\barclays\2020\barclays_2020_f9c00904.pdf
barclays,2021,data\raw_reports\barclays\2021\barclays_2021_2da88aaa.pdf
barclays,2021,data\raw_reports\barclays\2021\barclays_2021_c85ec037.pdf
barclays,2022,data\raw_reports\barclays\2022\barclays_2022_6b9988b4.pdf
barclays,2022,data\raw_reports\barclays\2022\barclays_2022_7c6ade7e.pdf
barclays,2023,data\raw_reports\barclays\2023\barclays_2023_6b95a31b.pdf
barclays,2023,data\raw_reports\barclays\2023\barclays_2023_9041dd53.pdf
barclays,2024,data\raw_reports\barclays\2024\barclays_2024_aaa31c9c.pdf
barclays,2024,data\raw_reports\barclays\2024\barclays_2024_b7c69778.pdf
barclays,2025,data\raw_reports\barclays\2025\barclays_2025_5a5dc59d.pdf
barclays,2025,data\raw_reports\barclays\2025\barclays_2025_76aa5cb1.pdf
blackrock,2020,data\raw_reports\blackrock\2020\blackrock_2020_06908a2e.pdf
blackrock,2021,data\raw_reports\blackrock\2021\blackrock_2021_2ed09a97.pdf
blackrock,2022,data\raw_reports\blackrock\2022\blackrock_2022_fedcd856.pdf
blackrock,2023,data\raw_reports\blackrock\2023\blackrock_2023_b428e282.pdf
blackrock,2024,data\raw_reports\blackrock\2024\blackrock_2024_b1447be1.pdf
blackrock,2025,data\raw_reports\blackrock\2025\blackrock_2025_1fd8eae4.pdf
bnp_paribas,2020,data\raw_reports\bnp_paribas\2020\bnp_paribas_2020_10172714.pdf
bnp_paribas,2021,data\raw_reports\bnp_paribas\2021\bnp_paribas_2021_d9a28f79.pdf
bnp_paribas,2022,data\raw_reports\bnp_paribas\2022\bnp_paribas_2022_40de4b83.pdf
bnp_paribas,2023,data\raw_reports\bnp_paribas\2023\bnp_paribas_2023_694557e1.pdf
bnp_paribas,2024,data\raw_reports\bnp_paribas\2024\bnp_paribas_2024_e9e1e2a5.pdf
bp,2020,data\raw_reports\bp\2020\bp_2020_e53aedc1.pdf
bp,2021,data\raw_reports\bp\2021\bp_2021_74079e1a.pdf
bp,2022,data\raw_reports\bp\2022\bp_2022_0911d88c.pdf
bp,2023,data\raw_reports\bp\2023\bp_2023_9aa4ff2b.pdf
bp,2024,data\raw_reports\bp\2024\bp_2024_c3f0da08.pdf
bp,2025,data\raw_reports\bp\2025\bp_2025_a6c0ec94.pdf
danone,2020,data\raw_reports\danone\2020\danone_2020_dbf6c9ed.pdf
danone,2021,data\raw_reports\danone\2021\danone_2021_22b98325.pdf
danone,2022,data\raw_reports\danone\2022\danone_2022_d3c5cbdd.pdf
danone,2023,data\raw_reports\danone\2023\danone_2023_0bb6500a.pdf
danone,2024,data\raw_reports\danone\2024\danone_2024_99c343a1.pdf
danone,2025,data\raw_reports\danone\2025\danone_2025_7b3acf0e.pdf
engie,2020,data\raw_reports\engie\2020\engie_2020_38df56b6.pdf
engie,2021,data\raw_reports\engie\2021\engie_2021_44f43533.pdf
engie,2022,data\raw_reports\engie\2022\engie_2022_371ea175.pdf
engie,2023,data\raw_reports\engie\2023\engie_2023_2bb7dfd7.pdf
engie,2024,data\raw_reports\engie\2024\engie_2024_965ac9be.pdf
engie,2025,data\raw_reports\engie\2025\engie_2025_cc999705.pdf
glencore,2020,data\raw_reports\glencore\2020\glencore_2020_1a2e1ac1.pdf
glencore,2021,data\raw_reports\glencore\2021\glencore_2021_5c49712f.pdf
glencore,2022,data\raw_reports\glencore\2022\glencore_2022_e7c1fc20.pdf
glencore,2023,data\raw_reports\glencore\2023\glencore_2023_e40bb834.pdf
glencore,2024,data\raw_reports\glencore\2024\glencore_2024_5486b6f6.pdf
glencore,2025,data\raw_reports\glencore\2025\glencore_2025_ea07caee.pdf
hsbc,2020,data\raw_reports\hsbc\2020\hsbc_2020_9225e661.pdf
hsbc,2021,data\raw_reports\hsbc\2021\hsbc_2021_57b61724.pdf
hsbc,2022,data\raw_reports\hsbc\2022\hsbc_2022_3e37e123.pdf
hsbc,2023,data\raw_reports\hsbc\2023\hsbc_2023_6a043211.pdf
hsbc,2024,data\raw_reports\hsbc\2024\hsbc_2024_ae765f15.pdf
hsbc,2025,data\raw_reports\hsbc\2025\hsbc_2025_056338e2.pdf
iberdrola,2020,data\raw_reports\iberdrola\2020\gsm21_IA_SustainabilityReport20.pdf
iberdrola,2021,data\raw_reports\iberdrola\2021\gsm22_IA_SustainabilityReport2021.pdf
