Companies,2025,2024,2023,2022,2021,2020
TotalEnergies,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,https://totalenergies.com/system/files/documents/2024-03/totalenergies_sustainability-climate-2024-progress-report_2024_en_pdf.pdf,https://totalenergies.com/system/files/documents/2023-03/Sustainability_Climate_2023_Progress_Report_EN.pdf,https://totalenergies.com/system/files/documents/2022-03/Sustainability_Climate_2022_Progress_Report_EN_0.pdf,https://totalenergies.com/sites/g/files/nytnzq121/files/documents/2022-11/SDG_Report_2021-2022.pdf,https://totalenergies.com/sites/g/files/nytnzq121/files/documents/2020-10/total-climate-report-2020.pdf
BNP Paribas,https://cdn-group.bnpparibas.com/uploads/file/bnpparibas_supporting_clients_transition_2025_csr_achievements.pdf,https://my.mediahub.bnpparibas/AssetLink/p415l2nab12g43u5e80kh3x44d421104.pdf,https://invest.bnpparibas/en/document/2023-integrated-report,https://invest.bnpparibas/en/document/2022-integrated-report,https://invest.bnpparibas/en/document/2021-integrated-report,https://invest.bnpparibas/en/document/2020-integrated-report
Airbus,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/2025_Airbus_Pioneering_sustainable_aerospace_publication.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-01/20242252_-_airbus_green_financing_framework.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2024-03/Airbus-Universal-Registration-Document-2023.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2023-04/Airbus%20Universal%20Registration%20Document%202022.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2022-04/Airbus%20SE%20Universal%20Registration%20Document%202021.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2021-06/AIRBUS-URD_2020_EV_2021_03_26_MEL.pdf
Danone,https://www.danone.com/content/dam/corp/global/danonecom/investors/en-all-publications/2026/registrationdocuments/urd2025.pdf,https://www.danone.com/content/dam/corp/global/danonecom/investors/en-all-publications/2025/registrationdocuments/urd2024accessibleversion.pdf,https://www.danone.com/content/dam/corp/global/danonecom/investors/en-all-publications/2023/registrationdocuments/urddanone2023.pdf,https://www.danone.com/content/dam/corp/global/danonecom/investors/en-all-publications/2022/registrationdocuments/danoneurd2022eng.pdf,https://www.danone.com/content/dam/corp/global/danonecom/investors/en-sustainability/reports-and-data/cross-topic/urd-chapters/URDchapter52021.pdf,https://www.danone.com/content/dam/corp/global/danonecom/investors/en-all-publications/2020/registrationdocuments/Danone_URD2020_EN.pdf
Engie,https://cdn.climatepolicyradar.org/navigator/FRA/2025/engie-sustainability-report-2024_02b64aa97e0dfc825f7c0c5fb6fb4a42.pdf,https://www.engie.com/app/uploads/2026/03/ENGIE_DEU_2024_FR_PDF_MEL.pdf,https://www.engie.com/app/uploads/2026/03/ENGIE-2023-UNIVERSAL-REGISTRATION-DOCUMENT.pdf,https://www.engie.com/app/uploads/2026/03/ENGIE_URD2022_VA_MEL.pdf,https://www.engie.com/app/uploads/2026/03/ENGIE_DEU_2021_MEL_US.pdf,https://www.engie.com/app/uploads/2026/03/ENGIE_DEU_2020_UK_BD_0_1.pdf
Schneider Electric,https://www.se.com/ww/en/assets/564/document/527425/schneider-sustainability-impact-q3-2025-results.pdf,https://www.se.com/ww/en/assets/564/document/513141/2024-sustainability-report.pdf?p_enDocType=EDMS&p_File_Name=2024%20Sustainable%20Development%20Report,https://www.se.com/ww/en/assets/564/document/466155/2023-sustainability-report.pdf,https://www.se.com/ww/en/assets/564/document/396659/2022-sustainability-report.pdf,https://www.loreal.com/-/media/project/loreal/brand-sites/corp/master/lcorp/documents-media/publications/annual-reports/loreal2021annualreport.pdf,https://download.schneider-electric.com/files?p_Doc_Ref=SustainabilityRhttps://www.loreal.com/-/media/project/loreal/brand-sites/corp/master/lcorp/documents-media/publications/brands/garniersustainabilityprogressreport2020-final-ldcompressed.pdfeport2020EN&p_enDocType=Brochure&p_File_Name=SD+Report+-+EN.pdf
L'Or�al,https://www.loreal-finance.com/system/files/2026-03/LOREAL_DEU_2025_EN.pdf,https://www.loreal.com/-/media/project/loreal/brand-sites/corp/master/lcorp/2-group/annual-reports/loreal2024annualreport.pdf?rev=-1,https://www.loreal.com/-/media/project/loreal/brand-sites/corp/master/lcorp/4-brands/consumer-products-division/loreal-paris/prlorealparis-2023.pdf?rev=564eddaeca6247b7b70368785b4c6312&hash=4EC4341DF410442A9FBA9739286A4EE4,https://www.loreal-finance.com/system/files/migrate-files/LOREAL_2021_Universal_Registration_Document_en.pdf,,https://www.loreal.com/-/media/project/loreal/brand-sites/corp/master/lcorp/documents-media/publications/brands/garniersustainabilityprogressreport2020-final-ldcompressed.pdf
Volkswagen,https://annualreport2025.volkswagen-group.com/_assets/downloads/esrs-sustainability-report-vw-ar25.pdf,https://annualreport2024.volkswagen-group.com/_assets/downloads/esrs-sustainability-report-vw-ar24.pdf,https://uploads.vw-mms.de/system/production/documents/cws/002/674/file_en/912a475685ada015c1ad3e8c5f193f783bb74b10/2023_Volkswagen_Group_Sustainability_Report.pdf?1710947082,https://uploads.vw-mms.de/system/production/files/cws/036/988/file/bfe1a3acb317e5e727b35848b5676dfe9d54dc3b/Nonfinancial_Report_2022_en.pdf?1684828868,https://uploads.vw-mms.de/system/production/files/cws/035/894/file/d5435ae6c44dd174febe06c9aa2ff273f79e4f59/Nonfinancial_Report_2021_e.pdf?1681991983,https://uploads.vw-mms.de/system/production/files/cws/035/898/file/de93104a9f213620805eb79b60a5b529f5621bca/Nonfinancial_Report_2020_e.pdf?1681991984
Siemens,https://assets.new.siemens.com/siemens/assets/api/uuid:dea0c623-1ae9-4ef0-a69a-31d8eb7b39fb/sustainability-statement.pdf,https://assets.new.siemens.com/siemens/assets/api/uuid:32a7154d-edba-47bc-8e9b-9761617ba774/sustainability-report.pdf,https://assets.new.siemens.com/siemens/assets/api/uuid:00095b96-4712-4cd1-b045-19d5df704358/sustainability-report-fy2023.pdf,https://assets.new.siemens.com/siemens/assets/api/uuid:c1088e4f-4d7f-4fa5-8e8e-33398ecf5361/sustainability-report-fy2022.pdf,https://assets.new.siemens.com/siemens/assets/api/uuid:4806da09-01c7-40b1-af91-99af4b726653/sustainability2021-en.pdf,https://assets.new.siemens.com/siemens/assets/api/uuid:13f56263-0d96-421c-a6a4-9c10bb9b9d28/sustainability2020-en.pdf
Iberdrola,https://www.iberdrola.com/documents/20125/42388/IB_Sustainability_Report.pdf,https://www.iberdrola.com/documents/20125/4778712/gsm25-sustainability-report-2024.pdf,https://www.iberdrola.com/documents/20125/3643974/gsm24-sustainability-report-2023.pdf,https://www.iberdrola.com/documents/20125/2931678/gsm23_IA_SustainabilityReport2022.pdf,https://www.iberdrola.com/documents/20125/1606413/gsm22_IA_SustainabilityReport2021.pdf,https://www.iberdrola.com/documents/20125/41974/gsm21_IA_SustainabilityReport20.pdf
